Name,Text,Pic,Birth Date,兄弟,子,URL
大中臣時実,,,,,,https://nakamura196.github.io/hi_person/snorql/?describe=https%3A%2F%2Fnakamura196.github.io%2Fhi_person%2Fentity%2Fchname%2F大中臣時実.json
宇治弘景,,,,,,https://nakamura196.github.io/hi_person/snorql/?describe=https%3A%2F%2Fnakamura196.github.io%2Fhi_person%2Fentity%2Fchname%2F宇治弘景.json
源康隆,,,,,,https://nakamura196.github.io/hi_person/snorql/?describe=https%3A%2F%2Fnakamura196.github.io%2Fhi_person%2Fentity%2Fchname%2F源康隆.json
藤原基村,,,,,,https://nakamura196.github.io/hi_person/snorql/?describe=https%3A%2F%2Fnakamura196.github.io%2Fhi_person%2Fentity%2Fchname%2F藤原基村.json
大中臣成綱,,,,,,https://nakamura196.github.io/hi_person/snorql/?describe=https%3A%2F%2Fnakamura196.github.io%2Fhi_person%2Fentity%2Fchname%2F大中臣成綱.json
惟宗有正,,,,,,https://nakamura196.github.io/hi_person/snorql/?describe=https%3A%2F%2Fnakamura196.github.io%2Fhi_person%2Fentity%2Fchname%2F惟宗有正.json
藤原成頼,"1136－1202　平安後期-鎌倉時代の公卿(くぎょう)。保延(ほうえん)2年生まれ。葉室顕頼(あきより)の3男。母は藤原俊忠の娘。仁安(にんあん)元年(1166)参議,2年正三位となる。修理大夫(だいぶ)を兼任。承安(じょうあん)4年(1174)兄葉室光頼(みつより)の一周忌に出家,高野山にはいり高野宰相入道とよばれた。兄の4男葉室宗頼の養父。建仁(けんにん)2年閏(うるう)10月死去。67歳。",,,,,https://nakamura196.github.io/hi_person/snorql/?describe=https%3A%2F%2Fnakamura196.github.io%2Fhi_person%2Fentity%2Fchname%2F藤原成頼.json
藤原幸国,,,,,,https://nakamura196.github.io/hi_person/snorql/?describe=https%3A%2F%2Fnakamura196.github.io%2Fhi_person%2Fentity%2Fchname%2F藤原幸国.json
三善行経,,,,,,https://nakamura196.github.io/hi_person/snorql/?describe=https%3A%2F%2Fnakamura196.github.io%2Fhi_person%2Fentity%2Fchname%2F三善行経.json
藤原高重,,,,,,https://nakamura196.github.io/hi_person/snorql/?describe=https%3A%2F%2Fnakamura196.github.io%2Fhi_person%2Fentity%2Fchname%2F藤原高重.json
紀重尚,,,,,,https://nakamura196.github.io/hi_person/snorql/?describe=https%3A%2F%2Fnakamura196.github.io%2Fhi_person%2Fentity%2Fchname%2F紀重尚.json
源俊明,"1044－1114　平安時代中期-後期の公卿(くぎょう)。寛徳元年生まれ。源隆国の3男。承保(じょうほう)2年(1075)参議。のち正二位,大納言兼民部卿。白河院の別当をつとめた。摂関家の藤原忠実(ただざね)にもおもんじられ,鳥羽(とば)天皇即位のとき,天皇の外戚(がいせき)藤原公実(きんざね)がのぞんだ摂政就任を阻止したという。永久2年12月2日死去。71歳。",,,,,https://nakamura196.github.io/hi_person/snorql/?describe=https%3A%2F%2Fnakamura196.github.io%2Fhi_person%2Fentity%2Fchname%2F源俊明.json
藤原家国,,,,,,https://nakamura196.github.io/hi_person/snorql/?describe=https%3A%2F%2Fnakamura196.github.io%2Fhi_person%2Fentity%2Fchname%2F藤原家国.json
